epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1026.1,1.94636,1.5274,1.46131,0.50148,0.53271,0.49414,0.19454,2.14836,1.7617,1.63139,0.00107205,0.00107205,0.00107205
43,1049.96,1.90194,1.51821,1.43856,0.5132,0.53137,0.50332,0.19865,2.12299,1.69712,1.61455,0.00104705,0.00104705,0.00104705
44,1073.84,1.91993,1.50305,1.46035,0.48313,0.54795,0.47785,0.17936,2.15279,1.68965,1.63524,0.00102184,0.00102184,0.00102184
45,1097.55,1.92593,1.46202,1.43329,0.54914,0.5614,0.52927,0.1971,2.16812,1.64836,1.62078,0.000996456,0.000996456,0.000996456
46,1121.29,1.86592,1.44503,1.42728,0.53694,0.53266,0.51536,0.19541,2.17584,1.6561,1.6511,0.000970919,0.000970919,0.000970919
47,1145.67,1.88641,1.47078,1.43677,0.55148,0.56118,0.53697,0.20462,2.10134,1.62104,1.60189,0.000945256,0.000945256,0.000945256
48,1169.82,1.88051,1.44711,1.44071,0.49807,0.59492,0.51849,0.19353,2.16237,1.55999,1.63151,0.00091949,0.00091949,0.00091949
49,1194.14,1.90779,1.45729,1.46245,0.55009,0.52549,0.5153,0.19947,2.17074,1.65975,1.65235,0.000893648,0.000893648,0.000893648
50,1218.36,1.85388,1.40478,1.42087,0.54697,0.56319,0.51827,0.19809,2.13195,1.6211,1.6448,0.000867754,0.000867754,0.000867754
51,1242.51,1.84423,1.40226,1.41219,0.5524,0.57403,0.52259,0.20957,2.12688,1.7011,1.62629,0.000841835,0.000841835,0.000841835
52,1266.57,1.85216,1.43529,1.41741,0.55491,0.58199,0.52984,0.2029,2.14389,1.6254,1.63207,0.000815916,0.000815916,0.000815916
